STAND, POSX, POSY, POSZ, POL, DELAY
126, 20.664, -32.37, 2.5, 1, 4.49237463948e-07
229, 40.879, -22.745, 2.163, 0, 3.71363861136e-07
229, 40.879, -22.745, 2.163, 1, 3.67956853235e-07
154, 26.813, -33.107, 2.598, 0, 4.40376422703e-07
154, 26.813, -33.107, 2.598, 1, 4.41017125549e-07
235, 43.975, -2.184, 1.507, 0, 2.91678963171e-07
235, 43.975, -2.184, 1.507, 1, 2.8767356299e-07
28, 6.964, -26.062, 2.364, 0, 4.725727481e-07
28, 6.964, -26.062, 2.364, 1, 4.70936739576e-07
227, 43.097, -27.588, 2.396, 0, 3.83136272231e-07
227, 43.097, -27.588, 2.396, 1, 3.82189321484e-07
180, 35.185, -39.441, 2.68, 0, 4.40199121286e-07
180, 35.185, -39.441, 2.68, 1, 4.41069510058e-07
165, -28.128, -2.681, 1.707, 0, 4.90077233398e-07
165, -28.128, -2.681, 1.707, 1, 4.85725289539e-07
34, 5.39, -8.226, 1.763, 0, 3.76467321225e-07
34, 5.39, -8.226, 1.763, 1, 3.72574749219e-07
77, -9.136, 12.893, 1.158, 0, 3.87977809773e-07
77, -9.136, 12.893, 1.158, 1, 3.87403594959e-07
116, 17.948, 33.397, 0.262, 0, 2.51949342363e-07
116, 17.948, 33.397, 0.262, 1, 2.50474516944e-07
135, -22.081, -5.31, 1.715, 0, 4.68730545814e-07
135, -22.081, -5.31, 1.715, 1, 4.74986465111e-07
38, 7.086, 0.991, 1.434, 0, 3.3512385457e-07
38, 7.086, 0.991, 1.434, 1, 3.36461674348e-07
41, -4.704, 8.751, 1.328, 0, 3.77748726917e-07
41, -4.704, 8.751, 1.328, 1, 3.75687597951e-07
109, -13.511, 10.058, 1.21, 0, 4.04771074616e-07
109, -13.511, 10.058, 1.21, 1, 4.0597994791e-07
133, -22.692, -10.753, 1.969, 0, 4.86472776193e-07
133, -22.692, -10.753, 1.969, 1, 4.81917338663e-07
36, 4.34, -3.499, 1.591, 0, 3.54602832914e-07
36, 4.34, -3.499, 1.591, 1, 3.54602832914e-07
249, 47.043, -7.41, 1.677, 0, 3.12679107077e-07
249, 47.043, -7.41, 1.677, 1, 3.11147867572e-07
94, 14.402, -33.73, 2.739, 0, 4.51010478113e-07
94, 14.402, -33.73, 2.739, 1, 4.49015837178e-07
209, 35.807, -21.016, 2.092, 0, 3.76652681797e-07
209, 35.807, -21.016, 2.092, 1, 3.77023402941e-07
156, 28.348, -28.265, 2.377, 0, 4.16154631468e-07
156, 28.348, -28.265, 2.377, 1, 4.14510563788e-07
211, 37.04, -14.397, 1.937, 0, 3.35381747539e-07
211, 37.04, -14.397, 1.937, 1, 3.35381747539e-07
124, 18.95, -36.97, 2.747, 0, 4.5937185173e-07
124, 18.95, -36.97, 2.747, 1, 4.5937185173e-07
245, 46.72, -19.949, 2.091, 0, 3.42514099974e-07
245, 46.72, -19.949, 2.091, 1, 3.42514099974e-07
184, 32.637, -25.632, 2.274, 0, 4.08901391704e-07
184, 32.637, -25.632, 2.274, 1, 4.02518540712e-07
188, 30.67, -11.448, 1.854, 0, 3.40642361157e-07
188, 30.67, -11.448, 1.854, 1, 3.37799494127e-07
62, 9.697, -30.12, 2.514, 0, 4.63993777291e-07
62, 9.697, -30.12, 2.514, 1, 4.58301998864e-07
12, -1.338, 14.429, 1.052, 0, 3.70108647699e-07
12, -1.338, 14.429, 1.052, 1, 3.68674118057e-07
42, 6.985, 15.42, 1.006, 0, 3.41329404146e-07
42, 6.985, 15.42, 1.006, 1, 3.40007702678e-07
73, -12.109, 1.252, 1.469, 0, 4.64195256173e-07
73, -12.109, 1.252, 1.469, 1, 4.63735884321e-07
72, 11.094, -2.057, 1.524, 0, 3.54514182206e-07
72, 11.094, -2.057, 1.524, 1, 3.46197133943e-07
11, -0.678, 5.662, 1.403, 0, 3.9128810781e-07
11, -0.678, 5.662, 1.403, 1, 3.85485515999e-07
44, 4.042, 19.519, 0.93, 0, 3.29637584604e-07
44, 4.042, 19.519, 0.93, 1, 3.22475010337e-07
137, -19.641, 0.323, 1.614, 0, 4.51979591537e-07
137, -19.641, 0.323, 1.614, 1, 4.49743175943e-07
70, 10.509, -7.09, 1.736, 0, 3.71091864645e-07
70, 10.509, -7.09, 1.736, 1, 3.68708369467e-07
40, 3.345, 11.245, 1.127, 0, 3.79727249542e-07
40, 3.345, 11.245, 1.127, 1, 3.79348469243e-07
84, 13.301, 36.01, 0.275, 0, 2.59194522972e-07
84, 13.301, 36.01, 0.275, 1, 2.54624981921e-07
